Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
,,,,,1683,,,,,,,,,,,105.1875
,,,,,1710,,,,,,,,,,,106.875
,,,,,1878,,,,,,,,,,,117.375
,,,,,1700,,,,,,,,,,,106.25
,,,,,1314,,,,,,,,,,,82.125
,,,,,1990,,,,,,,,,,,124.375
,,,,,2370,,,,,,,,,,,148.125
,,,,,1467,,,,,,,,,,,91.6875
,,,,,1950,,,,,,,,,,,121.875
,,,,,2023,,,,,,,,,,,126.4375
,,,,,2685,,,,,,,,,,,167.8125
,,,,,2103,,,,,,,,,,,131.4375
,,,,,2365,,,,,,,,,,,147.8125
,,,,,2142,,,,,,,,,,,133.875
,,,,,1527,,,,,,,,,,,95.4375
,,,,,1704,,,,,,,,,,,106.5
,,,,,1732,,,,,,,,,,,108.25
,,,,,2118,,,,,,,,,,,132.375
,,,,,1302,,,,,,,,,,,81.375
,,,,,1948,,,,,,,,,,,121.75
,,,,,1939,,,,,,,,,,,121.1875
,,,,,2164,,,,,,,,,,,135.25
,,,,,1635,,,,,,,,,,,102.1875
,,,,,1925,,,,,,,,,,,120.3125
,,,,,2008,,,,,,,,,,,125.5
,,,,,2067,,,,,,,,,,,129.1875
,,,,,1721,,,,,,,,,,,107.5625
,,,,,2366,,,,,,,,,,,147.875
,,,,,1872,,,,,,,,,,,117
,,,,,1899,,,,,,,,,,,118.6875
,,,,,1798,,,,,,,,,,,112.375
,,,,,2346,,,,,,,,,,,146.625
,,,,,2138,,,,,,,,,,,133.625
,,,,,2623,,,,,,,,,,,163.9375
,,,,,2025,,,,,,,,,,,126.5625
,,,,,1870,,,,,,,,,,,116.875
